,Date,Power Gen MW,,
585,12/05/2014,0,,
586,13/05/2014,0,,
587,14/05/2014,0,,
588,15/05/2014,0,,
589,16/05/2014,0,,
590,17/05/2014,0,,
591,18/05/2014,0,,
592,19/05/2014,368.1075,,
593,20/05/2014,816.03,,
594,21/05/2014,195.036,,
595,22/05/2014,469.2405,,
596,23/05/2014,1404.2685,,
597,24/05/2014,1381.4045,,
598,25/05/2014,133.944,,
599,26/05/2014,146.0225,,
600,27/05/2014,48.4125,,
601,28/05/2014,0,,
602,29/05/2014,0,,
603,30/05/2014,0,,
604,31/05/2014,0,,
605,01/06/2014,0,,
606,02/06/2014,0,,
607,03/06/2014,0,,
608,04/06/2014,0,,
609,05/06/2014,0,,
610,06/06/2014,0,,
611,07/06/2014,0,,
612,08/06/2014,0,,
613,09/06/2014,0,,
614,10/06/2014,0,,
615,11/06/2014,0,,
616,12/06/2014,0,,
617,13/06/2014,0,,
618,14/06/2014,0,,
619,15/06/2014,0,,
620,16/06/2014,0,,
621,17/06/2014,0,,
622,18/06/2014,0,,
623,19/06/2014,0,,
624,20/06/2014,0,,
625,21/06/2014,0,,
626,22/06/2014,0,,
627,23/06/2014,0,,
628,24/06/2014,0,,
629,25/06/2014,0,,
630,26/06/2014,0,,
631,27/06/2014,0,,
632,28/06/2014,0,,
633,29/06/2014,0,,
634,30/06/2014,0,,
635,01/07/2014,0,,
636,02/07/2014,0,,
637,03/07/2014,0,,
638,04/07/2014,0,,
639,05/07/2014,0,,
640,06/07/2014,0,,
641,07/07/2014,0,,
642,08/07/2014,0,,
643,09/07/2014,0,,
644,10/07/2014,0,,
645,11/07/2014,0,,
646,12/07/2014,0,,
647,13/07/2014,0,,
648,14/07/2014,0,,
649,15/07/2014,0,,
650,16/07/2014,0,,
651,17/07/2014,0,,
652,18/07/2014,0,,
653,19/07/2014,0,,
654,20/07/2014,0,,
655,21/07/2014,0,,
656,22/07/2014,0,,
657,23/07/2014,0,,
658,24/07/2014,0,,
659,25/07/2014,0,,
660,26/07/2014,0,,
661,27/07/2014,0,,
662,28/07/2014,0,,
663,29/07/2014,0,,
664,30/07/2014,0,,
665,31/07/2014,0,,
666,01/08/2014,0,,
667,02/08/2014,0,,
668,03/08/2014,0,,
669,04/08/2014,0,,
670,05/08/2014,0,,
671,06/08/2014,0,,
672,07/08/2014,0,,
673,08/08/2014,0,,
674,09/08/2014,0,,
675,10/08/2014,0,,
676,11/08/2014,0,,
677,12/08/2014,0,,
678,13/08/2014,0,,
679,14/08/2014,0,,
680,15/08/2014,0,,
681,16/08/2014,0,,
682,17/08/2014,0,,
683,18/08/2014,0,,
684,19/08/2014,0,,
685,20/08/2014,0,,
686,21/08/2014,0,,
687,22/08/2014,0,,
688,23/08/2014,0,,
689,24/08/2014,0,,
690,25/08/2014,0,,
691,26/08/2014,0,,
692,27/08/2014,1243.1335,,
693,28/08/2014,1574.844,,
694,29/08/2014,2096.676,,
695,30/08/2014,1484.269,,
696,31/08/2014,609.2025,,
697,01/09/2014,757.288,,
698,02/09/2014,48.6245,,
699,03/09/2014,202.3185,,
700,04/09/2014,0,,
701,05/09/2014,0,,
702,06/09/2014,0,,
703,07/09/2014,0,,
704,08/09/2014,0,,
705,09/09/2014,0,,
706,10/09/2014,0,,
707,11/09/2014,0,,
708,12/09/2014,0,,
709,13/09/2014,0,,
710,14/09/2014,0,,
711,15/09/2014,0,,
712,16/09/2014,0,,
713,17/09/2014,0,,
714,18/09/2014,0,,
715,19/09/2014,0,,
716,20/09/2014,0,,
717,21/09/2014,0,,
718,22/09/2014,0,,
719,23/09/2014,0,,
720,24/09/2014,0,,
721,25/09/2014,0,,
722,26/09/2014,0,,
723,27/09/2014,0,,
724,28/09/2014,0,,
725,29/09/2014,0,,
726,30/09/2014,0,,
727,01/10/2014,0,,
728,02/10/2014,0,,
729,03/10/2014,0,,
730,04/10/2014,0,,
731,05/10/2014,0,,
732,06/10/2014,0,,
733,07/10/2014,0,,
734,08/10/2014,0,,
735,09/10/2014,0,,
736,10/10/2014,0,,
737,11/10/2014,0,,
738,12/10/2014,0,,
739,13/10/2014,0,,
740,14/10/2014,0,,
741,15/10/2014,0,,
742,16/10/2014,0,,
743,17/10/2014,0,,
744,18/10/2014,0,,
745,19/10/2014,0,,
746,20/10/2014,0,,
747,21/10/2014,0,,
748,22/10/2014,0,,
749,23/10/2014,0,,
750,24/10/2014,0,,
751,25/10/2014,0,,
752,26/10/2014,0,,
753,27/10/2014,0,,
754,28/10/2014,0,,
755,29/10/2014,627.896,,
756,30/10/2014,1219.5545,,
757,31/10/2014,1740.4465,,
758,01/11/2014,2089.66,,
759,02/11/2014,2059.248,,
760,03/11/2014,1427.1085,,
761,04/11/2014,612.5105,,
762,05/11/2014,520.923,,
763,06/11/2014,0,,
764,07/11/2014,0,,
765,08/11/2014,0,,
766,09/11/2014,0,,
767,10/11/2014,0,,
768,11/11/2014,0,,
769,12/11/2014,0,,
770,13/11/2014,0,,
771,14/11/2014,0,,
772,15/11/2014,0,,
773,16/11/2014,0,,
774,17/11/2014,0,,
775,18/11/2014,0,,
776,19/11/2014,0,,
777,20/11/2014,0,,
778,21/11/2014,0,,
779,22/11/2014,0,,
780,23/11/2014,0,,
781,24/11/2014,0,,
782,25/11/2014,170.5785,,
783,26/11/2014,297.4295,,
784,27/11/2014,393.2895,,
785,28/11/2014,1159.267,,
786,29/11/2014,585.452,,
787,30/11/2014,639.045,,
788,01/12/2014,526.3265,,
789,02/12/2014,1134.6465,,
790,03/12/2014,0,,
791,04/12/2014,0,,
792,05/12/2014,0,,
793,06/12/2014,0,,
794,07/12/2014,0,,
795,08/12/2014,0,,
796,09/12/2014,0,,
797,10/12/2014,0,,
798,11/12/2014,1606.6655,,
799,12/12/2014,1431.422,,
800,13/12/2014,1479.3435,,
801,14/12/2014,1990.413,,
802,15/12/2014,1918.653,,
803,16/12/2014,1487.879,,
804,17/12/2014,2058.0615,,
805,18/12/2014,2121.5295,,
806,19/12/2014,2112.902,,
807,20/12/2014,2099.143,,
808,21/12/2014,2103.2665,,
809,22/12/2014,2124.8895,,
810,23/12/2014,1916.69,,
811,24/12/2014,0,,
812,25/12/2014,1409.74,,
813,26/12/2014,750.7145,,
814,27/12/2014,1122.035,,
815,28/12/2014,244.3935,,
816,29/12/2014,460.475,,
817,30/12/2014,1355.29,,
818,31/12/2014,2019.265,,
819,01/01/2015,2096.865,,
820,02/01/2015,2076.25,,
821,03/01/2015,769.992,,
822,04/01/2015,346.9235,,
823,05/01/2015,1167.005,,
824,06/01/2015,1934.135,,
825,07/01/2015,2119.08,,
826,08/01/2015,2027.569,,
827,09/01/2015,1966.6635,,
828,10/01/2015,1797.0555,,
829,11/01/2015,1998.605,,
830,12/01/2015,1817.695,,
831,13/01/2015,1944.54,,
832,14/01/2015,1900.486,,
833,15/01/2015,1461.5955,,
834,16/01/2015,1805.53,,
835,17/01/2015,1687.32,,
836,18/01/2015,1178.945,,
837,19/01/2015,255.7225,,
838,20/01/2015,1044.305,,
839,21/01/2015,603.43,,
840,22/01/2015,225.109,,
841,23/01/2015,1901.725,,
842,24/01/2015,2058.13,,
843,25/01/2015,1987.68,,
844,26/01/2015,1778.855,,
845,27/01/2015,1694.14,,
846,28/01/2015,1956.515,,
847,29/01/2015,1808.24,,
848,30/01/2015,,,
849,31/01/2015,1914.045,,
850,01/02/2015,1650.61,,
851,02/02/2015,510.33,,
852,03/02/2015,883.92,,
853,04/02/2015,899.49,,
854,05/02/2015,381.375,,
855,06/02/2015,8.0105,,
856,07/02/2015,82.706,,
857,08/02/2015,392.975,,
858,09/02/2015,851.81,,
859,10/02/2015,28.0795,,
860,11/02/2015,354.199,,
861,12/02/2015,,,
862,13/02/2015,1763.11,,
863,14/02/2015,637.865,,
864,15/02/2015,1098.12,,
865,16/02/2015,1283.705,,
866,17/02/2015,1741.755,,
867,18/02/2015,2038.415,,
868,19/02/2015,1653.36,,
869,20/02/2015,1125.89,,
870,21/02/2015,1773.79,,
871,22/02/2015,1727.38,,
872,23/02/2015,2082.44,,
873,24/02/2015,2063.815,,
874,25/02/2015,1205,,
875,26/02/2015,2030.71,,
876,27/02/2015,2000.11,,
877,28/02/2015,1914.265,,
878,01/03/2015,1939.384,,
879,02/03/2015,2160.59,,
880,03/03/2015,2168.085,,
881,04/03/2015,1669.77,,
882,05/03/2015,2054.055,,
883,06/03/2015,2152.4,,
884,07/03/2015,2162.26,,
885,08/03/2015,1242.33,,
886,09/03/2015,1798.575,,
887,10/03/2015,969.003,,
888,11/03/2015,1532.395,,
889,12/03/2015,1920.045,,
890,13/03/2015,373.084,,
891,14/03/2015,672.469,,
892,15/03/2015,594.001,,
893,16/03/2015,367.7295,,
894,17/03/2015,151.789,,
895,18/03/2015,30.976,,
896,19/03/2015,6.536,,
897,20/03/2015,959.7235,,
898,21/03/2015,343.805,,
899,22/03/2015,416.57,,
900,23/03/2015,1212.75,,
901,24/03/2015,366.1,,
902,25/03/2015,259.516,,
903,26/03/2015,1901.0675,,
904,27/03/2015,466.7235,,
905,28/03/2015,1995.985,,
906,29/03/2015,1817.74,,
907,30/03/2015,2163.435,,
908,31/03/2015,2018.1915,,
909,01/04/2015,1788.84,,
910,02/04/2015,438.963,,
911,03/04/2015,1164.605,,
912,04/04/2015,707.105,,
913,05/04/2015,22.9785,,
914,06/04/2015,5.1745,,
915,07/04/2015,32.705,,
916,08/04/2015,4.5695,,
917,09/04/2015,46.5395,,
918,10/04/2015,954.6145,,
919,11/04/2015,2047.85,,
920,12/04/2015,1496.8285,,
921,13/04/2015,1175.08,,
922,14/04/2015,2095.285,,
923,15/04/2015,1226.41,,
924,16/04/2015,77.2555,,
925,17/04/2015,1015.39,,
926,18/04/2015,544.952,,
927,19/04/2015,466.115,,
928,20/04/2015,87.51,,
929,21/04/2015,260.813,,
930,22/04/2015,158.5575,,
931,23/04/2015,13.076,,
932,24/04/2015,732.004,,
933,25/04/2015,1467.805,,
934,26/04/2015,1040.665,,
935,27/04/2015,944.8595,,
936,28/04/2015,2059.045,,
937,29/04/2015,1978.46,,
938,30/04/2015,876.89,,
939,01/05/2015,390.9345,,
940,02/05/2015,1875.035,,
941,03/05/2015,1754.955,,
942,04/05/2015,962.633,,
943,05/05/2015,1685.57,,
944,06/05/2015,1911.215,,
945,07/05/2015,294.88,,
946,08/05/2015,626.455,,
947,09/05/2015,938.275,,
948,10/05/2015,1523.945,,
949,11/05/2015,2053.965,,
950,12/05/2015,1986.54,,
951,13/05/2015,257.5645,,
952,14/05/2015,1500.875,,
953,15/05/2015,998.3925,,
954,16/05/2015,1837.955,,
955,17/05/2015,2075,,
956,18/05/2015,1536.935,,
957,19/05/2015,1933.965,,
958,20/05/2015,1490.91,,
959,21/05/2015,958.935,,
960,22/05/2015,1212.895,,
961,23/05/2015,309.9585,,
962,24/05/2015,1159.905,,
963,25/05/2015,854.87,,
964,26/05/2015,1672.46,,
965,27/05/2015,1021.521,,
966,28/05/2015,1923.06,,
967,29/05/2015,945.7,,
968,30/05/2015,565.175,,
969,31/05/2015,2034.11,,
970,01/06/2015,2147.71,,
971,02/06/2015,2075.56,,
972,03/06/2015,1245.535,,
973,04/06/2015,177.111,,
974,05/06/2015,1245.07,,
975,06/06/2015,2116.815,,
976,07/06/2015,924.85,,
977,08/06/2015,584.86,,
978,09/06/2015,64.926,,
979,10/06/2015,70.785,,
980,11/06/2015,185.5665,,
981,12/06/2015,393.744,,
982,13/06/2015,545.696,,
983,14/06/2015,304.535,,
984,15/06/2015,146.863,,
985,16/06/2015,780.79,,
986,17/06/2015,1629.285,,
987,18/06/2015,1182.815,,
988,19/06/2015,846.395,,
989,20/06/2015,405.21,,
990,21/06/2015,1420.96,,
991,22/06/2015,1316.275,,
992,23/06/2015,100.2285,,
993,24/06/2015,829.43,,
994,25/06/2015,673.79,,
995,26/06/2015,794.6915,,
996,27/06/2015,1035.185,,
997,28/06/2015,1524.745,,
998,29/06/2015,369.7095,,
999,30/06/2015,168.973,,
1000,01/07/2015,961.9105,,
1001,02/07/2015,890.785,,
1002,03/07/2015,570.4925,,
1003,04/07/2015,1579.465,,
1004,05/07/2015,521.4965,,
1005,06/07/2015,1450.37,,
1006,07/07/2015,1956.725,,
1007,08/07/2015,1687.75,,
1008,09/07/2015,567.987,,
1009,10/07/2015,,,
1010,11/07/2015,2742.665,,
1011,12/07/2015,2396.57,,
1012,13/07/2015,1236.55,,
1013,14/07/2015,1032.559,,
1014,15/07/2015,2130.43,,
1015,16/07/2015,1712.4,,
